,combination,extinction_size,wv,wy
332,BY_y_cv0.04_cy0.48,169.86152499362925,0.04,0.48
333,BY_y_cv0.04_cy0.49,180.1663617797538,0.04,0.49
334,BY_y_cv0.04_cy0.50,191.7155092164172,0.04,0.5
335,BY_y_cv0.04_cy0.51,204.70885677658208,0.04,0.51
336,BY_y_cv0.04_cy0.52,219.434664263094,0.04,0.52
337,BY_y_cv0.04_cy0.53,235.88357028782724,0.04,0.53
338,BY_y_cv0.04_cy0.54,254.58567188977145,0.04,0.54
339,BY_y_cv0.04_cy0.55,275.6770958129317,0.04,0.55
340,BY_y_cv0.04_cy0.56,299.81797556904826,0.04,0.56
341,BY_y_cv0.04_cy0.57,327.0803092451597,0.04,0.57
342,BY_y_cv0.04_cy0.58,358.3505037970079,0.04,0.58
343,BY_y_cv0.04_cy0.59,393.86697535399406,0.04,0.59
344,BY_y_cv0.04_cy0.60,434.5096792516093,0.04,0.6
345,BY_y_cv0.04_cy0.61,480.9280900609576,0.04,0.61
346,BY_y_cv0.04_cy0.62,534.1327209466457,0.04,0.62
347,BY_y_cv0.04_cy0.63,595.0073428883542,0.04,0.63
348,BY_y_cv0.04_cy0.64,664.8550764959853,0.04,0.64
349,BY_y_cv0.04_cy0.65,744.2072591273128,0.04,0.65
350,BY_y_cv0.04_cy0.66,835.1141770001301,0.04,0.66
351,BY_y_cv0.04_cy0.67,939.095849391646,0.04,0.67
352,BY_y_cv0.04_cy0.68,1056.844163423198,0.04,0.68
353,BY_y_cv0.04_cy0.69,1190.2952191281506,0.04,0.69
354,BY_y_cv0.04_cy0.70,1341.3193308604757,0.04,0.7
355,BY_y_cv0.05_cy0.00,55.48070780332237,0.05,0.0
356,BY_y_cv0.05_cy0.01,55.97693258261826,0.05,0.01
357,BY_y_cv0.05_cy0.02,56.499809574189385,0.05,0.02
358,BY_y_cv0.05_cy0.03,57.04040035494164,0.05,0.03
359,BY_y_cv0.05_cy0.04,57.606863212600736,0.05,0.04
360,BY_y_cv0.05_cy0.05,58.180714544791954,0.05,0.05
